cell_type,effect_class,n_genes,top_genes,top_pathways,interpretation
CD8_T_cytotoxic,shared_40_200,537,ERBB4; BNC2; ANXA1; METTL12; RHOB; SEPP1; IQCH; AGBL4,Reactome | Neutrophil Degranulation R-HSA-6798695 (padj=1.12e-06) | Reactome | Signaling By Interleukins R-HSA-449147 (padj=3.24e-06) | Reactome | Innate Immune System R-HSA-168249 (padj=6.32e-06) | Reactome | Immune System R-HSA-168256 (padj=1.36e-05) | Reactome | Interleukin-4 And Interleukin-13 Signali… (padj=3.15e-05),Significant for both 40 nm and 200 nm solo exposures but not in the mix; mix may mask or redirect this program.
CD8_T_cytotoxic,shared_all_three,526,QPCT; ENPEP; MAGI1; FASN; ARHGAP31; RP11-123O10.4; AC009313.1; AC009784.3,KEGG | Viral protein interaction with cytokine and … (padj=3.94e-03) | GO | Cellular Response To Lipopolysaccharide (GO:00… (padj=3.95e-03) | GO | Regulation Of Macrophage Activation (GO:004303… (padj=4.58e-03) | GO | Cellular Response To Molecule Of Bacterial Ori… (padj=5.32e-03) | GO | Positive Regulation Of Interleukin-2 Productio… (padj=1.22e-02),"Core PSNP response module: significant across 40 nm, 200 nm, and mix — particle-size-independent transcriptional program."
CD8_T_cytotoxic,mix_only_emergent,270,SKAP1; XKR6; ARL15; GBP5; PARP15; ASF1B; NAV2; FAM83D,GO | Ephrin Receptor Signaling Pathway (GO:0048013) (padj=3.00e-02),Emergent mixture effect: significant only when both particle sizes are present; not a simple sum of solo exposures.
Monocyte_CD14,unique_40nm,196,HIST2H2AB; CADM2; THSD4; HORMAD2; RP11-95P2.3; MID1; PDE7B; LOXL3,,Response specific to 40 nm PSNP; may reflect higher surface-area-to-volume ratio and distinct uptake/signaling vs larger particles.
Monocyte_CD14,unique_200nm,157,RP11-481J13.1; CEP128; AC097721.2; EFCAB12; DPYD; MOCOS; RYR3; RP11-596D21.1,,"Response specific to 200 nm PSNP; often aligned with stronger myeloid engagement (phagocytosis, PRR signaling)."
Monocyte_CD14,shared_40_200,334,GPC4; SLC10A7; MICALCL; KIAA0226L; RP11-6N17.2; MAPK10; RP1-167A14.2; HNF4G,,Significant for both 40 nm and 200 nm solo exposures but not in the mix; mix may mask or redirect this program.
Monocyte_CD14,shared_all_three,973,RP11-830F9.6; GLOD5; DUSP19; AC026202.1; TEX41; KALRN; CSMD3; RP11-17A4.2,Reactome | Interleukin-10 Signaling R-HSA-6783783 (padj=1.37e-10) | KEGG | Cytokine-cytokine receptor interaction (padj=4.14e-09) | Reactome | Signaling By Interleukins R-HSA-449147 (padj=7.02e-08) | KEGG | Rheumatoid arthritis (padj=1.19e-07) | GO | Cellular Response To Lipopolysaccharide (GO:00… (padj=3.49e-07),"Core PSNP response module: significant across 40 nm, 200 nm, and mix — particle-size-independent transcriptional program."
Monocyte_CD14,mix_only_emergent,234,ID1; PPP4R4; VIPR2; RP11-529G21.2; TNFAIP3; IL12A-AS1; HOXA1; CNGA4,KEGG | Graft-versus-host disease (padj=2.09e-03) | KEGG | Th17 cell differentiation (padj=2.09e-03) | KEGG | Cell adhesion molecules (padj=2.09e-03) | KEGG | Leishmaniasis (padj=2.09e-03) | KEGG | Intestinal immune network for IgA production (padj=2.09e-03),Emergent mixture effect: significant only when both particle sizes are present; not a simple sum of solo exposures.
NK_cell,unique_40nm,208,MPZL2; RP11-190P13.2; PCSK6; B4GALNT3; RP11-33A14.1; RP11-168K11.2; CTD-2377D24.8; CREB3L3,"KEGG | VEGF signaling pathway (padj=8.49e-03) | KEGG | Growth hormone synthesis, secretion and acti… (padj=8.49e-03) | KEGG | Platelet activation (padj=8.49e-03) | KEGG | Fc epsilon RI signaling pathway (padj=8.49e-03) | KEGG | Osteoclast differentiation (padj=8.49e-03)",Response specific to 40 nm PSNP; may reflect higher surface-area-to-volume ratio and distinct uptake/signaling vs larger particles.
NK_cell,unique_200nm,272,AC133680.1; NEK6; FGF13; NUMB; AC026188.1; RP11-532F6.3; CDC14B; BCAR3,KEGG | Cytokine-cytokine receptor interaction (padj=2.63e-03) | KEGG | Viral protein interaction with cytokine and … (padj=2.85e-03) | KEGG | Legionellosis (padj=1.98e-02) | KEGG | JAK-STAT signaling pathway (padj=1.98e-02) | GO | Positive Regulation Of NIK/NF-kappaB Signaling… (padj=2.02e-02),"Response specific to 200 nm PSNP; often aligned with stronger myeloid engagement (phagocytosis, PRR signaling)."
NK_cell,shared_40_200,391,FCER1G; PPP2R2C; LTBP1; GNG4; RP11-120D5.1; ISPD; RP11-371F15.3; NEK10,"KEGG | Transcriptional misregulation in cancer (padj=4.03e-02) | KEGG | Parathyroid hormone synthesis, secretion and… (padj=4.47e-02) | GO | Endodermal Cell Differentiation (GO:0035987) (padj=4.64e-02) | GO | Inflammatory Response (GO:0006954) (padj=4.64e-02) | GO | Endoderm Formation (GO:0001706) (padj=4.64e-02)",Significant for both 40 nm and 200 nm solo exposures but not in the mix; mix may mask or redirect this program.
NK_cell,shared_all_three,672,RP11-58G13.1; FAM168A; RP11-328J6.1; ADAM28; TMEM236; LRRC4C; ZFP37; RP11-281P23.2,,"Core PSNP response module: significant across 40 nm, 200 nm, and mix — particle-size-independent transcriptional program."
NK_cell,mix_only_emergent,223,LRRC2; SPATA6L; HIST3H2BB; F8; CTD-2349P21.5; FBXO27; CCDC79; LARGE,,Emergent mixture effect: significant only when both particle sizes are present; not a simple sum of solo exposures.
other,unique_40nm,184,MAPK10; FAT4; RP11-513H8.1; ROR2; MGAT5; FAM43A; GPR56; KMT2E-AS1,KEGG | AGE-RAGE signaling pathway in diabetic compl… (padj=7.01e-04) | KEGG | MAPK signaling pathway (padj=7.01e-04) | GO | Regulation Of Macrophage Cytokine Production (… (padj=1.82e-03) | KEGG | Ras signaling pathway (padj=2.46e-03) | GO | Cellular Response To Hormone Stimulus (GO:0032… (padj=1.30e-02),Response specific to 40 nm PSNP; may reflect higher surface-area-to-volume ratio and distinct uptake/signaling vs larger particles.
other,unique_200nm,368,AMOT; ID1; NPHP3-AS1; SLC4A10; GLIS1; RP11-596D21.1; SYNPO2; CNTNAP4,Reactome | RAC1 GTPase Cycle R-HSA-9013149 (padj=3.99e-04) | Reactome | CDC42 GTPase Cycle R-HSA-9013148 (padj=3.99e-04) | Reactome | Leishmania Infection R-HSA-9658195 (padj=7.26e-04) | Reactome | FCGR3A-mediated Phagocytosis R-HSA-96644… (padj=2.69e-03) | KEGG | Lipid and atherosclerosis (padj=6.20e-03),"Response specific to 200 nm PSNP; often aligned with stronger myeloid engagement (phagocytosis, PRR signaling)."
other,shared_40_200,262,PDGFD; TOP2A; KHDRBS2; HES1; AP3B2; IL1A; FGD4; S100A4,GO | Endoderm Formation (GO:0001706) (padj=3.91e-02) | GO | Endoderm Development (GO:0007492) (padj=3.91e-02) | GO | Positive Regulation Of Cell Population Prolife… (padj=3.91e-02) | GO | Protein Maturation (GO:0051604) (padj=3.91e-02) | GO | Protein Processing (GO:0016485) (padj=3.91e-02),Significant for both 40 nm and 200 nm solo exposures but not in the mix; mix may mask or redirect this program.
other,shared_all_three,215,RN7SL1; HLA-DQA1; LINC00152; RGS18; EMR3; HDX; CSF2RB; CNR2,,"Core PSNP response module: significant across 40 nm, 200 nm, and mix — particle-size-independent transcriptional program."
other,mix_only_emergent,287,XCL2; METRNL; SEL1L3; DMD; DENND2C; PLXNA4; RP11-815M8.1; KIF21A,Reactome | Regulation Of MECP2 Expression And Activ… (padj=6.12e-03) | GO | Positive Regulation Of Cardiac Muscle Hypertro… (padj=2.40e-02) | Reactome | Disorders Of Developmental Biology R-HSA… (padj=3.75e-02) | Reactome | Axon Guidance R-HSA-422475 (padj=3.75e-02) | Reactome | Transcriptional Regulation By MECP2 R-HS… (padj=3.77e-02),Emergent mixture effect: significant only when both particle sizes are present; not a simple sum of solo exposures.
other_T,unique_40nm,196,RP11-377G16.2; CTC-326K19.6; PKD2; MYPN; ATXN7L1; CD52; RPL10A; AP000462.2,GO | Neuron Projection Extension (GO:1990138) (padj=1.73e-02),Response specific to 40 nm PSNP; may reflect higher surface-area-to-volume ratio and distinct uptake/signaling vs larger particles.
other_T,unique_200nm,393,CACNB4; ACOT11; C6orf99; RELN; CCDC79; EPS15L1; TBC1D5; INSRR,KEGG | Cytokine-cytokine receptor interaction (padj=5.58e-04) | KEGG | IL-17 signaling pathway (padj=1.73e-03) | Reactome | Collagen Degradation R-HSA-1442490 (padj=4.17e-03) | Reactome | Interleukin-10 Signaling R-HSA-6783783 (padj=4.21e-03) | Reactome | Extracellular Matrix Organization R-HSA-… (padj=5.50e-03),"Response specific to 200 nm PSNP; often aligned with stronger myeloid engagement (phagocytosis, PRR signaling)."
other_T,shared_40_200,402,RP11-148L24.1; ZPLD1; SCARNA2; RP4-684O24.5; C2CD4D; RP5-884C9.2; CEACAM1; Z83001.1,GO | Cytokine-Mediated Signaling Pathway (GO:001922… (padj=2.10e-06) | Reactome | Interleukin-10 Signaling R-HSA-6783783 (padj=8.29e-06) | KEGG | Cytokine-cytokine receptor interaction (padj=6.95e-05) | KEGG | Viral protein interaction with cytokine and … (padj=2.05e-04) | Reactome | Signaling By Interleukins R-HSA-449147 (padj=2.38e-04),Significant for both 40 nm and 200 nm solo exposures but not in the mix; mix may mask or redirect this program.
other_T,shared_all_three,383,NFIA; LINC00944; PPP2R2C; WDR63; AC092171.4; ABCA13; RP11-736E3.1; NPTN,,"Core PSNP response module: significant across 40 nm, 200 nm, and mix — particle-size-independent transcriptional program."
other_T,mix_only_emergent,281,SLC6A20; COLGALT2; CEP78; ESR1; AC093627.10; MYO6; RGS13; ASF1B,,Emergent mixture effect: significant only when both particle sizes are present; not a simple sum of solo exposures.
